"article","mention","full_quote","original_name"
"bioj:a2005-46-NATURE","bioj:a2005-46-NATURE-C11-mention","All data were collected with the absorbance optical system at 280 nm. The global fit in WinNONLIN included three rotor speeds (13,000, 18,000, and 25,000 rpm) and three loading concentrations (0.2, 0.4, 0.8 mg/ml).","WinNONLIN"
"bioj:a2005-46-NATURE","bioj:a2005-46-NATURE-C08-mention","Data were analysed by nonlinear regression in WinNONLIN [48]. Solvent density and viscosity were calculated with Sednterp [49]. Association constants for any monomer–dimer equilibria obtained from WinNONLIN were converted from absorbance (K2,abs) to molar units (K2,M) with the equation K2,M = K2,abs(1l)/2,","WinNONLIN"
"bioj:a2005-46-NATURE","bioj:a2005-46-NATURE-C08-mention","Data were analysed by nonlinear regression in WinNONLIN [48]. Solvent density and viscosity were calculated with Sednterp [49]. Association constants for any monomer–dimer equilibria obtained from WinNONLIN were converted from absorbance (K2,abs) to molar units (K2,M) with the equation K2,M = K2,abs(1l)/2,","WinNONLIN106"
"bioj:a2005-46-NATURE","bioj:a2005-46-NATURE-C09-mention","Data were analysed by nonlinear regression in WinNONLIN [48]. Solvent density and viscosity were calculated with Sednterp [49]. Association constants for any monomer–dimer equilibria obtained from WinNONLIN were converted from absorbance (K2,abs) to molar units (K2,M) with the equation K2,M = K2,abs(1l)/2,","Sednterp"
"bioj:a2005-46-NATURE","bioj:a2005-46-NATURE-C10-mention","Data were analyzed with the continuous distribution c(S) Lamm equation implemented in Sedfit [2] using every other scan.","Sedfit"
"bioj:a2005-46-NATURE","bioj:a2005-46-NATURE-C07-mention","Iterative rounds of model building in the program O [47] were carried out by using Fo - Fc omit maps,coupled with Powell minimization and individual B-factor refinement, until Rfree converged","O"
"bioj:a2005-46-NATURE","bioj:a2005-46-NATURE-C06-mention","Refinement was done with CNS [46].","CNS"
"bioj:a2005-46-NATURE","bioj:a2005-46-NATURE-C06-mention","Refinement was done with CNS [46].","Crystallography & NMR system"
"bioj:a2005-46-NATURE","bioj:a2005-46-NATURE-C01-mention","Superposition was carried out on 256 residues from domain 1 with the program LSQKAB [50].","LSQKAB"
"bioj:a2005-46-NATURE","bioj:a2005-46-NATURE-C02-mention","The bromide sites were found with SOLVE [42] and molecular replacement was done with AmoRe [43]. Phase combination and extension were accomplished with SIGMAA [44] and DM [45], respectively.","SOLVE"
"bioj:a2005-46-NATURE","bioj:a2005-46-NATURE-C03-mention","The bromide sites were found with SOLVE [42] and molecular replacement was done with AmoRe [43]. Phase combination and extension were accomplished with SIGMAA [44] and DM [45], respectively.","AmoRe"
"bioj:a2005-46-NATURE","bioj:a2005-46-NATURE-C03-mention","The bromide sites were found with SOLVE [42] and molecular replacement was done with AmoRe [43]. Phase combination and extension were accomplished with SIGMAA [44] and DM [45], respectively.","Amore"
"bioj:a2005-46-NATURE","bioj:a2005-46-NATURE-C04-mention","The bromide sites were found with SOLVE [42] and molecular replacement was done with AmoRe [43]. Phase combination and extension were accomplished with SIGMAA [44] and DM [45], respectively.","SIGMAA"
"bioj:a2005-46-NATURE","bioj:a2005-46-NATURE-C05-mention","The bromide sites were found with SOLVE [42] and molecular replacement was done with AmoRe [43]. Phase combination and extension were accomplished with SIGMAA [44] and DM [45], respectively.","DM"
"bioj:a2006-05-SYST_BIOL","bioj:a2006-05-SYST_BIOL-C09-mention","First, the number of models considered with respect to substi- tution type by ModelTest is a small fraction of the uni- verse of possible models, or even of those models that are reasonable for empirical data sets (Table 1).","ModelTest"
"bioj:a2006-05-SYST_BIOL","bioj:a2006-05-SYST_BIOL-C03-mention","For example, appropriate pool of candidate models. For example, ModelTest considers a pool of 56 candidate models. However, with respect to substitution classes, ModelTest examines only eight distinct models.","ModelTest"
"bioj:a2006-05-SYST_BIOL","bioj:a2006-05-SYST_BIOL-C01-mention","The program ModelTest (Posada and Crandall, 1998) works in conjunction with PAUP* (Swofford, 2003) to automate this procedure and is presently the most commonly used method of selecting a model for phy-logenetic analysis.","ModelTest"
"bioj:a2006-05-SYST_BIOL","bioj:a2006-05-SYST_BIOL-C02-mention","The program ModelTest (Posada and Crandall, 1998) works in conjunction with PAUP* (Swofford, 2003) to automate this procedure and is presently the most commonly used method of selecting a model for phy-logenetic analysis.","PAUP*"
"bioj:a2006-05-SYST_BIOL","bioj:a2006-05-SYST_BIOL-C04-mention","Throughout this study we make use of the restricted growth function notation of partitions to describe mod-els, a scheme for model specification used in PAUP* (Swofford, 2003) and described in Huelsenbeck et al. (2004) to refer to the universe of time-reversible models.","PAUP*"
"bioj:a2006-05-SYST_BIOL","bioj:a2006-05-SYST_BIOL-C06-mention","To compare Bayesian and AIC approaches, we used PAUP* (Swofford, 2003) to calculate the AIC score (Akaike, 1973) of each of the 203 time-reversible mod-els for each simulation replicate.","PAUP*"
"bioj:a2006-05-SYST_BIOL","bioj:a2006-05-SYST_BIOL-C07-mention","We then used PAUP* (Swofford, 2003) to obtain the likelihood score of this model on the generating tree, estimating the ma-trix parameters and base frequencies (rmatrix = estimate, basefreq = est).","PAUP*"
"bioj:a2006-26-ACTA_CRYSTALLOGR_D","bioj:a2006-26-ACTA_CRYSTALLOGR_D-C01-mention","All data sets were processed with HKL (Otwinowski & Minor, 1997) and the space group and data statistics were determined using XPREP (Bruker AXS, Madison, WI, USA).","HKL"
"bioj:a2006-26-ACTA_CRYSTALLOGR_D","bioj:a2006-26-ACTA_CRYSTALLOGR_D-C02-mention","All data sets were processed with HKL (Otwinowski & Minor, 1997) and the space group and data statistics were determined using XPREP (Bruker AXS, Madison, WI, USA).","XPREP"
"bioj:a2006-26-ACTA_CRYSTALLOGR_D","bioj:a2006-26-ACTA_CRYSTALLOGR_D-C06-mention","All structures were refined against F using TLS refinement in REFMAC (Murshudov et al., 1997), alternating with model building in real space using 2mFo - DFc and mFo - DFc maps in COOT (Emsley & Cowtan, 2004).","REFMAC"
"bioj:a2006-26-ACTA_CRYSTALLOGR_D","bioj:a2006-26-ACTA_CRYSTALLOGR_D-C07-mention","All structures were refined against F using TLS refinement in REFMAC (Murshudov et al., 1997), alternating with model building in real space using 2mFo - DFc and mFo - DFc maps in COOT (Emsley & Cowtan, 2004).","COOT"
"bioj:a2006-26-ACTA_CRYSTALLOGR_D","bioj:a2006-26-ACTA_CRYSTALLOGR_D-C09-mention","Figures were drawn with CHIMERA (Pettersen et al., 2004), MOLSCRIPT (Kraulis, 1991) and RASTER3D (Merritt & Bacon, 1997).","CHIMERA"
"bioj:a2006-26-ACTA_CRYSTALLOGR_D","bioj:a2006-26-ACTA_CRYSTALLOGR_D-C10-mention","Figures were drawn with CHIMERA (Pettersen et al., 2004), MOLSCRIPT (Kraulis, 1991) and RASTER3D (Merritt & Bacon, 1997).","MOLSCRIPT"
"bioj:a2006-26-ACTA_CRYSTALLOGR_D","bioj:a2006-26-ACTA_CRYSTALLOGR_D-C11-mention","Figures were drawn with CHIMERA (Pettersen et al., 2004), MOLSCRIPT (Kraulis, 1991) and RASTER3D (Merritt & Bacon, 1997).","RASTER3D"
"bioj:a2006-26-ACTA_CRYSTALLOGR_D","bioj:a2006-26-ACTA_CRYSTALLOGR_D-C05-mention","Prime-and-switch phasing in RESOLVE (Terwilliger, 2004) was used to minimize model bias. The model was checked and rebuilt manually from the bias-minimized electron-density map from RESOLVE.","RESOLVE"
"bioj:a2006-26-ACTA_CRYSTALLOGR_D","bioj:a2006-26-ACTA_CRYSTALLOGR_D-C03-mention","The Wind-His, Y53S and Y53F structures were solved by molecular replacement using EPMR (Kissinger et al., 1999) with search models taken from the His-Wind structure (PDB code 1ovn).","EPMR"
"bioj:a2006-26-ACTA_CRYSTALLOGR_D","bioj:a2006-26-ACTA_CRYSTALLOGR_D-C04-mention","The Y55K mutant proved to be more problematic and so PHASER (McCoy et al., 2005) was employed.","PHASER"
"bioj:a2006-26-ACTA_CRYSTALLOGR_D","bioj:a2006-26-ACTA_CRYSTALLOGR_D-C12-mention","The hydrophobic molecular-interac-tion fields at the surfaces of the different mutants were analysed using a DRY probe in the program package GRID (Goodford, 1985). The hydrophobic probe finds favourable locations that interact with other molecule(s) on the surface of a protein in an aqueous environment (Liljefors, 1998). All GRID calculations were performed for the whole volume of the protein using a grid spacing of 1.0 A˚.","GRID"
"bioj:a2006-26-ACTA_CRYSTALLOGR_D","bioj:a2006-26-ACTA_CRYSTALLOGR_D-C15-mention","The net charge on each of the dimers as calculated using GRIN (Goodford, 1985) are -7.38, -9.05, -11.23 and -13.21 for Wind-His, Y53F, Y53S and Y55K, respectively:","GRIN"
"bioj:a2006-26-ACTA_CRYSTALLOGR_D","bioj:a2006-26-ACTA_CRYSTALLOGR_D-C13-mention","The program ESCET (Schneider, 2002) was used to determine confor-mationally invariant regions between different pairs of mutants. The CSI (conformational similarity index) rela-tive to His-Wind, calculated using ESCET, is in the range of 90% for all the structures except for the Y55K mutant, which has a CSI of around 70%.","ESCET"
"bioj:a2006-26-ACTA_CRYSTALLOGR_D","bioj:a2006-26-ACTA_CRYSTALLOGR_D-C08-mention","The structures were validated with PROCHECK (Laskowski et al., 1993).","PROCHECK"
"bioj:a2006-26-ACTA_CRYSTALLOGR_D","bioj:a2006-26-ACTA_CRYSTALLOGR_D-C14-mention","To analyse the hypothesis that the Wind–Pipe interaction is predominantly hydrophobic, involving aromatic interactions, the relative hydrophobic potentials on the surface shown in Fig. 6 were estimated using a DRY (hydrophobic) probe in the program GRID (Goodford, 1985).","GRID"
"bioj:a2006-27-FASEB_J","bioj:a2006-27-FASEB_J-C02-mention","Data were analyzed using statistical Packages for the Social Sciences 10.0 statistical software.","statistical Packages for the Social Sciences"
"bioj:a2006-27-FASEB_J","bioj:a2006-27-FASEB_J-C01-mention","The protein bands were quan-titatively analyzed by Kodak Digital Science 1D software (Eastman Kodak Company, New Haven, CT, USA).","Kodak Digital Science 1D"
"bioj:a2006-29-NAT_GENET","bioj:a2006-29-NAT_GENET-C02-mention","Metamorph Imaging System (Universal Imaging Corp.) was used to control the camera, shutters and stimulators and to performbasic image processing operations.","Metamorph Imaging System"
"bioj:a2006-29-NAT_GENET","bioj:a2006-29-NAT_GENET-C01-mention","RACE analysis identified a putative polyA signal and 3' end ~1.5 Kb 3' of the CAG repeat, within intron A of the overlapping gene, and ~29.5 Kb upstream of the KLHL1 promoter (Figs. 1a and 7e).","RACE"
"bioj:a2006-37-NUCLEOS_NUCLEOT_NUCL","bioj:a2006-37-NUCLEOS_NUCLEOT_NUCL-C02-mention","Significant differences were calculated by t-test using the Prism 3.0 software (GraphPad Software, San Diego, CA, USA).","Prism"
"bioj:a2006-37-NUCLEOS_NUCLEOT_NUCL","bioj:a2006-37-NUCLEOS_NUCLEOT_NUCL-C01-mention","The calculations of combination effects were performed using the “Calcusyn” software designed by Chou and Talalay[4] (Biosoft, Ferguson, MO, USA).","Calcusyn"
"bioj:a2006-47-SYST_BIOL","bioj:a2006-47-SYST_BIOL-C01-mention","We applied our algorithms to 10,000 trees generated from their data using MrBayes (Ronquist and Huelsenbeck, 2003).","MrBayes"
"bioj:a2007-06-PLOS_BIOL","bioj:a2007-06-PLOS_BIOL-C01-mention","The values of error bars were given by Sigmaplot software (http://www.systat.com/products/sigmaplot/) during fitting.","Sigmaplot"
"bioj:a2007-11-GENOME_RES","bioj:a2007-11-GENOME_RES-C03-mention","Genotyping data from the F2 population were analyzed us-ing MapQTL (4.0) software (CPRO-DLO), and Mapmaker soft-ware was used to test the reproducibility of MapQTL data.","MapQTL"
"bioj:a2007-11-GENOME_RES","bioj:a2007-11-GENOME_RES-C04-mention","Genotyping data from the F2 population were analyzed us-ing MapQTL (4.0) software (CPRO-DLO), and Mapmaker soft-ware was used to test the reproducibility of MapQTL data.","Mapmaker"
"bioj:a2007-11-GENOME_RES","bioj:a2007-11-GENOME_RES-C01-mention","Interval mapping using MapQTL 4.0 to identify the linkage between polymorphic markers and femur total volumetric BMD (vBMD) within the F2 female mice showed three peaks/QTL: peak 1 at marker D1mit453 (Bmd1a, at 165.2 Mb), peak 2 at marker D1mit354 (Bmd1b, at 172.98 Mb), and peak 3 at marker D1mit359 (designated as BMD1-4 at 177.4 Mb) (Fig. 1), which were significantly associated with femoral vBMD.","MapQTL"
"bioj:a2007-11-GENOME_RES","bioj:a2007-11-GENOME_RES-C02-mention","Map-Maker software also identified three significant linkages at the same positions (Supplemental Table 1), which explained 9.3%, 10.7%, and 9% of the BMD variation within the B6.CAST","Map-Maker"
"bioj:a2007-11-GENOME_RES","bioj:a2007-11-GENOME_RES-C08-mention","MapMaker QTL intervals (Mb)","MapMaker"
"bioj:a2007-11-GENOME_RES","bioj:a2007-11-GENOME_RES-C05-mention","MapQTL interval mapping was used for quantitative trait loci mapping,","MapQTL"
"bioj:a2007-11-GENOME_RES","bioj:a2007-11-GENOME_RES-C07-mention","Supplementary Table 1. Identification of BMD QTL intervals in chromosome 1 using MapMaker software.","MapMaker"
"bioj:a2007-11-GENOME_RES","bioj:a2007-11-GENOME_RES-C06-mention","the LOD score significant thresholds were calcu-lated using MapQTL permutation tests at a confidence level of 99%.","MapQTL"
"bioj:a2007-14-NAT_GENET","bioj:a2007-14-NAT_GENET-C01-mention","Both Statview 5.0 and Prism GraphPad software were used for survival data and mortality curves analysis. We analyzed survival data by Kaplan-Meier analysis in Statview 5.0. The log-rank (Mantel-Cox) test results are presented. Censored data were recorded and analyzed with GraphPad software.","Statview"
"bioj:a2007-14-NAT_GENET","bioj:a2007-14-NAT_GENET-C02-mention","Both Statview 5.0 and Prism GraphPad software were used for survival data and mortality curves analysis. We analyzed survival data by Kaplan-Meier analysis in Statview 5.0. The log-rank (Mantel-Cox) test results are presented. Censored data were recorded and analyzed with GraphPad software.","GraphPad Prism"
"bioj:a2007-14-NAT_GENET","bioj:a2007-14-NAT_GENET-C03-mention","Similar increases in NF1 protein levels were generated by both the heat shock and GAL4-UAS systems, detected by western blot measured using Image J densitometry analysis, mean ± SD of 3 experiments (*:P < 0.05, t - test).","Image J"
"bioj:a2007-14-NAT_GENET","bioj:a2007-14-NAT_GENET-C04-mention","Similar levels of dephosphorylated FOXO were found for w1118, K33 and hsNF1/+;K33, verified by Image J densitometry analysis in 3 experiments, one example shown.","Image J"
"bioj:a2007-19-J_MOL_CATAL_B-ENZYM","bioj:a2007-19-J_MOL_CATAL_B-ENZYM-B01-mention","The experimental data was plotted and the constants calculated by using the EnzFitter software (Biosoft, Cambridge, UK).","EnzFitter"
"bioj:a2007-27-CLADISTICS","bioj:a2007-27-CLADISTICS-C02-mention","In order to evaluate our search strategy, we first analyzed the original SEA matrix using PAUP*4.0b10 (Swofford, 2002) to compare our trees with the SEA topologies. As both analyses resulted in identical trees, the following search strategy was chosen: stepwise addition of 100 random taxa sequences, followed by Tree Bisection-Reconnection (TBR) branch swapping (100 trees held at each step during the stepwise addition, MULTREES on, STEEPEST DESCENT on). Boot-strap analyses were conducted with the same software program, employing a full heuristic search with 500 replicates, a simple addition sequence, and TBR swap-ping (10 trees held at each step, MULTREES on, STEEPEST DESCENT on). The consensus of the bootstrap replicates was used to determine bootstrap values. The search strategy of the wood matrix was adjusted because of excessive computational time to run the analysis to completion. Therefore, MULTREES option was turned off, and a heuristic search using 1000 instead of 100 replicates was carried out. Furthermore, a topological constraint tree had to be postulated in which the ingroup was forced to be monophyletic.","PAUP*"
"bioj:a2007-27-CLADISTICS","bioj:a2007-27-CLADISTICS-C03-mention","The final cladogram figures were made using MacClade 4.04 (Maddison and Maddison, 2005) and edited with Adobe InDesign CS. As some of the branches in the bootstrap consensus tree are not highly supported, we chose to code uncertainties in character evolution as equivocal. In addition, the option ‘‘soft polytomies’’ was used.","MacClade"
"bioj:a2007-27-CLADISTICS","bioj:a2007-27-CLADISTICS-C03-mention","The final cladogram figures were made using MacClade 4.04 (Maddison and Maddison, 2005) and edited with Adobe InDesign CS. As some of the branches in the bootstrap consensus tree are not highly supported, we chose to code uncertainties in character evolution as equivocal. In addition, the option ‘‘soft polytomies’’ was used.","Macclade"
"bioj:a2007-27-CLADISTICS","bioj:a2007-27-CLADISTICS-C04-mention","The final cladogram figures were made using MacClade 4.04 (Maddison and Maddison, 2005) and edited with Adobe InDesign CS. As some of the branches in the bootstrap consensus tree are not highly supported, we chose to code uncertainties in character evolution as equivocal. In addition, the option ‘‘soft polytomies’’ was used.","Adobe INDesign CS"
"bioj:a2007-27-CLADISTICS","bioj:a2007-27-CLADISTICS-C01-mention","The statistical tests were performed using MorphoCode, an open-source software program that implements the gap weighting method (Schols et al., 2004).","MorphoCode"
"bioj:a2007-28-SCIENCE","bioj:a2007-28-SCIENCE-C07-mention","138 of the 222 EST contigs that lacked an alignment over at least 50% of their length had an identifiable alignment to human refseq genes by BLASTP (19) (-e 1e-5), indicating that they are likely to represent bona fide protein-coding transcripts rather than artifactual sequence.","BLASTP"
"bioj:a2007-28-SCIENCE","bioj:a2007-28-SCIENCE-C03-mention","Long branch lengths, indicating increased lev-els of sequence divergence, were found along the fly, nematode, and sea squirt lineages, consistent with systematic trends observed in BLAST-based analyses of ESTs (17, 18).","BLAST"
"bioj:a2007-28-SCIENCE","bioj:a2007-28-SCIENCE-C06-mention","Of 1,152 sample sequences, 99.9% were passing, and 80% possessed significant BLASTX hits (E-value < 1E-5).","BLASTX"
"bioj:a2007-28-SCIENCE","bioj:a2007-28-SCIENCE-C04-mention","The first and largest group (type I novelty) comprises animal genes that have no identifiable relatives (with BLAST) outside of animals in the available sequence data sets, and accounts for 15% (1186) of ancestral eumetazoan genes.","BLAST"
"bioj:a2007-28-SCIENCE","bioj:a2007-28-SCIENCE-C05-mention","The shotgun reads were trimmed of low quality and vector-derived sequence, and assembled using JAZZ (10, 11). Approximately one third of the shotgun reads are composed entirely of high copy-number repeat sequences, and are therefore masked at the alignment stage of JAZZ, and therefore remain unassembled.","JAZZ"
"bioj:a2007-28-SCIENCE","bioj:a2007-28-SCIENCE-C02-mention","To approximate the gene repertoire of the eu-metazoan ancestor, we constructed 7766 putatively orthologous gene families that are anchored by reciprocal best-scoring BLAST alignments (33) between genes from anemone and one or more of fly, nematode, human, frog, or puffer-fish (32).","BLAST"
"bioj:a2007-28-SCIENCE","bioj:a2007-28-SCIENCE-C01-mention","Whereas ~22,000 of all predicted genes have a significant alignment [Basic Local Alignment Search Tool (BLAST) e value < 10–10] to known proteins in SwissProt/Trembl and therefore have some homology support, analysis of a random sampling of genes suggests that some of these appear to be gene fragments, possible pseudo-genes, relics of transposable elements, or allelic variants, leading to a discounting of the true gene count to ~18,000 (32).","Basic Local Alignment Search Tool (BLAST)"
"bioj:a2007-28-SCIENCE","bioj:a2007-28-SCIENCE-C08-mention","tRNAScan-SE (20) was used to look for tRNAs and BLASTN (19) against nr and Repbase (21) to identify the 5S,18S,28S,U2,U6 RNAs, and two Nematostella transposons (see below).","tRNAScan-SE"
"bioj:a2007-28-SCIENCE","bioj:a2007-28-SCIENCE-C09-mention","tRNAScan-SE (20) was used to look for tRNAs and BLASTN (19) against nr and Repbase (21) to identify the 5S,18S,28S,U2,U6 RNAs, and two Nematostella transposons (see below).","BLASTN"
"bioj:a2007-32-CELL","bioj:a2007-32-CELL-C04-mention","Quantification was carried out with Quantity One 4.6 software (Bio-Rad).","Quantity One"
"bioj:a2007-32-CELL","bioj:a2007-32-CELL-C08-mention","Quantification was carried out with Quantity One 4.6 software (Bio-Rad).","Quantity One"
"bioj:a2007-32-CELL","bioj:a2007-32-CELL-C01-mention","The three soft-ware programs used—MitoProt (99.6%), TargetP (92.1%), and PSORT (73.9%)—gave a high probability for mito-chondrial localization.","MitoProt"
"bioj:a2007-32-CELL","bioj:a2007-32-CELL-C02-mention","The three soft-ware programs used—MitoProt (99.6%), TargetP (92.1%), and PSORT (73.9%)—gave a high probability for mito-chondrial localization.","TargetP"
"bioj:a2007-32-CELL","bioj:a2007-32-CELL-C03-mention","The three soft-ware programs used—MitoProt (99.6%), TargetP (92.1%), and PSORT (73.9%)—gave a high probability for mito-chondrial localization.","PSORT"
"bioj:a2007-32-CELL","bioj:a2007-32-CELL-C05-mention","We used the following software tools to predict subcellular localization of human MTERF3: MitoProt II 1.0a4 (http://ihg.gsf.de/ihg/mitoprot.html), PSORT (http://psort.ims.u-tokyo.ac.jp/form2.html) and TargetP 1.1 (http://www.cbs.dtu.dk/services/TargetP-1.1).","MitoProt II"
"bioj:a2007-32-CELL","bioj:a2007-32-CELL-C06-mention","We used the following software tools to predict subcellular localization of human MTERF3: MitoProt II 1.0a4 (http://ihg.gsf.de/ihg/mitoprot.html), PSORT (http://psort.ims.u-tokyo.ac.jp/form2.html) and TargetP 1.1 (http://www.cbs.dtu.dk/services/TargetP-1.1).","PSORT"
"bioj:a2007-32-CELL","bioj:a2007-32-CELL-C07-mention","We used the following software tools to predict subcellular localization of human MTERF3: MitoProt II 1.0a4 (http://ihg.gsf.de/ihg/mitoprot.html), PSORT (http://psort.ims.u-tokyo.ac.jp/form2.html) and TargetP 1.1 (http://www.cbs.dtu.dk/services/TargetP-1.1).","TargetP"
"bioj:a2007-36-BMC_PLANT_BIOL","bioj:a2007-36-BMC_PLANT_BIOL-B03-mention","P values between copy numbers among libraries were calculated based on Audic-Claverie (or AC) statistics [28] by using IDEG6 software [53,54].","IDEG6"
"bioj:a2007-36-BMC_PLANT_BIOL","bioj:a2007-36-BMC_PLANT_BIOL-B01-mention","The statistics was based on the Audic and Claverie test statistic (IDEG6, http:// telethon.bio.unipd.it/bioinfo/IDEG6_form/).","IDEG6"
"bioj:a2007-36-BMC_PLANT_BIOL","bioj:a2007-36-BMC_PLANT_BIOL-B02-mention","We aligned the collected transcript sequences to the two genome sequences by using BLAT [51] to obtain a dataset for tag annotations. The threshold parameters set for aligned transcripts are (1) at least 90% identical to their genomic sequences and (2) covering ≥ 90% transcript sequences. When a transcript has more than one hit to genomic sequences, the longest consensus was selected as the best-aligned (true) locus. We further selected sequences that span the 3' end of a predicted gene but do not extend to the next with ≥ 100-bp overlapping sequences.","BLAT"
"bioj:a2007-36-BMC_PLANT_BIOL","bioj:a2007-36-BMC_PLANT_BIOL-B05-mention","We integrated expression information, function annotation, and tag-mapping information of leaf differentially-expressed genes in the excel tables.","excel"
"bioj:a2007-36-BMC_PLANT_BIOL","bioj:a2007-36-BMC_PLANT_BIOL-B04-mention","We integrated expression information, function annotation, and tag-mapping information of panicle differentially-expressed genes in tables","excel"
"bioj:a2007-36-BMC_PLANT_BIOL","bioj:a2007-36-BMC_PLANT_BIOL-B06-mention","We integrated expression information, function annotation, and tag-mapping information of root differentially-expressed genes in the excel tables.","excel"
"bioj:a2007-38-HUM_MOL_GENET","bioj:a2007-38-HUM_MOL_GENET-C02-mention","Haplotypes were recon-structed in PHASE version 2.1.1 (32,33).","PHASE"
"bioj:a2007-38-HUM_MOL_GENET","bioj:a2007-38-HUM_MOL_GENET-C01-mention","Logistic regression in STATA (http://www.stata.com) with software written by David Clayton for use within that package (http://www.gene.cimr.cam.ac.uk/clayton/software/stata) was used to test for association and calculate odds ratios (ORs) at all loci (10).","STATA"
"bioj:a2007-48-UNDERSEA_HYPERBAR_M","bioj:a2007-48-UNDERSEA_HYPERBAR_M-C01-mention","Data were analyzed using Microsoft
Excel Version 2003, (Microsoft Corp., Redmond, WA.).","Excel"
"bioj:a2007-51-APPL_BIOCHEM_BIOTECH","bioj:a2007-51-APPL_BIOCHEM_BIOTECH-B01-mention","Evolution of the component concentration was simulated with an iterative program (MATLAB 6.0). All the experimentally determined constants were introduced into the program.","MATLAB"
"bioj:a2007-51-APPL_BIOCHEM_BIOTECH","bioj:a2007-51-APPL_BIOCHEM_BIOTECH-B02-mention","The coefficient of the mass transfer determined theoretically and the saturating hexenal concentration determined experimentally were used to simulate the transfer in the biphasic system using the Matlab program.","MATLAB"
"bioj:a2007-51-NAT_GENET","bioj:a2007-51-NAT_GENET-C01-mention","Supplementary Table 8. Correction factors for on x2 scale based on the first 10 principal components calculated using the EIGENSTRAT software package.","EIGENSTRAT"
"bioj:a2008-06-NAT_GENET","bioj:a2008-06-NAT_GENET-C05-mention","Microscopic analysis of crural muscle section was performed with a Zeiss Axioplan 2 imaging microscope, equipped with an Axiocam HrC camera and KS300 morphometry software (Zeiss).","KS300"
"bioj:a2008-06-NAT_GENET","bioj:a2008-06-NAT_GENET-C02-mention","Mitochondrial respiration was determined using high-resolution respirometry (Oroboros Oxygraph-2k), using the DatLab Software for data acquisition and analyses (Oroboros Instruments, Innsbruck, Austria) 5,6.","DatLab"
"bioj:a2008-06-NAT_GENET","bioj:a2008-06-NAT_GENET-C03-mention","The peak intensities of PCr, Pi and ATP resonances were quantified with the jMRUI software package.","jMRUI"
"bioj:a2008-06-NAT_GENET","bioj:a2008-06-NAT_GENET-C01-mention","We determined mitochondrial respiration in small bundles of saponin-permeabilizedmyofibers from wild-type and Phd1-deficient soleus muscle using high-resolution respirometry (Oroboros Oxygraph-2k), using the DatLab Software for data acquisition and analyses (Oroboros Instruments), as previously described [46–48].","DatLab"
"bioj:a2008-39-NAT_BIOTECHNOL","bioj:a2008-39-NAT_BIOTECHNOL-C01-mention","All images were analyzed with GenePix3.0 (Molecular Devices).","GenePix"
"bioj:a2008-39-NAT_BIOTECHNOL","bioj:a2008-39-NAT_BIOTECHNOL-C05-mention","Data were fit to a 3 parameter logistic curve using the formula Y=a+(b-a)/(1+10^(X-c)) (BioDataFit, Chang Bioscience)","BioDataFit"
"bioj:a2008-39-NAT_BIOTECHNOL","bioj:a2008-39-NAT_BIOTECHNOL-C03-mention","Dissociation equilibrium constants were determined by fitting data to the equation describing equilibrium binding; Y=a*X/(b + X) (a and b represent maximum binding and Kd, respectively) by nonlinear least- squares regression fitting (BioDataFit, Chang Bioscience).","BioDataFit"
"bioj:a2008-39-NAT_BIOTECHNOL","bioj:a2008-39-NAT_BIOTECHNOL-C04-mention","IC50s were measured by fitting data to a three-parameter logistic curve using the formula Y = a+ (b – a)/(1 + 10^(X – c)) (a, b and c represent minimum binding, maximum binding and logEC50, respectively)(BioDataFit, Chang Bioscience).","BioDataFit"
"bioj:a2008-39-NAT_BIOTECHNOL","bioj:a2008-39-NAT_BIOTECHNOL-C02-mention","IC50s were measured by fitting data to a three-parameter logistic curve using the formula Y=a+(b-a)/(1+10^(X-c)) (BioDataFit, Chang Bioscience).","BioDataFit"
"bioj:a2009-03-NAT_BIOTECHNOL","bioj:a2009-03-NAT_BIOTECHNOL-C02-mention","Statistical analyses were performed using Graph Pad Prizm software.","Graph Pad Prizm"
"bioj:a2009-03-NAT_BIOTECHNOL","bioj:a2009-03-NAT_BIOTECHNOL-C01-mention","Stereology for total number of neurons in a given area and total number of GFP-positive cells was carried out on a Nikon E800 fluorescent microscope with computer- assisted microscopy and image analysis using StereoInvestigator software (MicroBrightField) with the optical dissector principle to avoid oversampling errors and the Cavalieri estimation for volumetric measurements.","StereoInvestigator"
"bioj:a2009-31-NATURE","bioj:a2009-31-NATURE-C11-mention","Aggregate plots. The USeq AggregatePlots application was used to compare the degree of enrichment and distribution of histone reads surrounding the TSS of developmental and non developmental genes.","USeq AggregatePlots"
"bioj:a2009-31-NATURE","bioj:a2009-31-NATURE-C02-mention","Computational analytical methods. The software used in this analysis are open source and available from the TIMAT2 (http://timat2.sourceforge.net) and USeq (http://useq.sourceforge.net) project websites.","TIMAT2"
"bioj:a2009-31-NATURE","bioj:a2009-31-NATURE-C03-mention","Computational analytical methods. The software used in this analysis are open source and available from the TIMAT2 (http://timat2.sourceforge.net) and USeq (http://useq.sourceforge.net) project websites.","USeq"
"bioj:a2009-31-NATURE","bioj:a2009-31-NATURE-C08-mention","Find neighbouring genes (FNG). Genes associating with histones or histone modifications were determined using the FNG application in the USeq package.","USeq FNG"
